c_liq,f_l,T
0.8170000000000002,1.0,870.0498521327972
0.8159051709337557,0.99,869.7182207061519
0.8147924710702459,0.98,869.3814471483961
0.8136614238258032,0.97,869.0394598676044
0.8125115340858015,0.96,868.692188343665
0.8113422872316718,0.95,868.3395634053193
0.8101531481028195,0.94,867.9815175398719
0.8089435598881268,0.9299999999999999,867.61797541638
0.8077129430759796,0.92,867.248803763693
0.8064606950322947,0.91,866.8738427751412
0.8051861891137861,0.9,866.4929258257583
0.8038887734439651,0.89,866.105879114685
0.8025677696126381,0.88,865.7125212496916
0.8012224712937311,0.87,865.3126628014818
0.7998521427753913,0.86,864.9061058298637
0.7984560173957309,0.85,864.4926487391959
0.7970332957960189,0.84,864.0720970428019
0.7955831438852101,0.83,863.6442515338324
0.7941046908407451,0.82,863.2089052307817
0.7925970270120977,0.8099999999999999,862.7658429898054
0.7910592016765733,0.7999999999999999,862.314841093631
0.7894902206349098,0.7899999999999999,861.8556667626551
0.7878890436338801,0.7799999999999999,861.3880742097983
0.786254581658393,0.7699999999999999,860.9118014449712
0.7845856940690611,0.7599999999999999,860.4265742628784
0.7828811854477152,0.75,859.9321060261968
0.7811398021967236,0.74,859.4280969220907
0.7793602288783132,0.73,858.9142331893421
0.777541084269736,0.72,858.3901876231992
0.7756809170845581,0.71,857.8556195331776
0.773778201336992,0.7,857.3101721263457
0.7718313313603234,0.69,856.7534713391634
0.769838616418404,0.6799999999999999,856.1851247392786
0.7677982748674791,0.6699999999999999,855.6047199810548
0.7657084278314454,0.6599999999999999,855.0118226597551
0.7635670923527289,0.6499999999999999,854.4059756855808
0.7613721739280437,0.6399999999999999,853.7866979579037
0.7591214583781958,0.6299999999999999,853.1534827015136
0.7568126029863168,0.6199999999999999,852.5057957332749
0.7544431268271505,0.6099999999999999,851.8430735352351
0.7520104001982592,0.5999999999999999,851.164721023821
0.7495116330510306,0.5899999999999999,850.470109200434
0.7469438623100157,0.5799999999999998,849.7585722895242
0.7443039379634447,0.5699999999999998,849.0294044709473
0.7415885077870293,0.5599999999999998,848.2818572947963
0.7387940005039313,0.5499999999999998,847.5151363708918
0.7359166072071601,0.5399999999999998,846.7283978767405
0.7329522608362385,0.5299999999999998,845.9207445382731
0.7298966134617172,0.5199999999999998,845.0912208122223
0.7267450110926331,0.5099999999999998,844.2388062622982
0.7234924657348217,0.4999999999999998,843.3624053057466
0.7201336244325407,0.48999999999999977,842.4608443214695
0.7166627346291975,0.47999999999999976,841.5328706282381
0.7130736052815629,0.46999999999999975,840.5771642071962
0.7093595627587567,0.45999999999999974,839.5923167357387
0.7055134016512354,0.44999999999999973,838.5767687611128
0.7015273310315256,0.4399999999999997,837.5287140249567
0.6973929165423246,0.4299999999999997,836.446198514121
0.6931010113452329,0.4199999999999997,835.3275899346474
0.6886416618946107,0.4099999999999997,834.1715317822287
0.6840040013956972,0.3999999999999997,832.9751488265435
0.6791761899313113,0.3899999999999997,831.7324799954052
0.6741454027895928,0.37999999999999967,830.43922120052
0.6688976434840581,0.36999999999999966,829.0983288463226
0.6634173119599212,0.35999999999999965,827.7110100736584
0.6576870505124474,0.34999999999999964,826.269226323188
0.6516878696634859,0.33999999999999964,824.7658537744478
0.6453988772846786,0.3299999999999996,823.1979142247413
0.6387968180948185,0.3199999999999996,821.5607041544936
0.631855788411619,0.3099999999999996,819.8480752323346
0.6245468854963367,0.2999999999999996,818.0537416607718
0.6168377267568563,0.2899999999999996,816.1704878104863
0.6086919120320843,0.2799999999999996,814.1900126342686
0.6000683833807513,0.2699999999999996,812.1028499943454
0.5909206533478839,0.25999999999999956,809.8980471821061
0.5811958823718191,0.24999999999999956,807.562860151174
0.5708337658827722,0.23999999999999955,805.0823303164449
0.5597651886635304,0.22999999999999954,802.4387386084271
0.5479105927488304,0.21999999999999953,799.6108811767921
0.5351779946785978,0.20999999999999952,796.5731004257384
0.5214605775699732,0.1999999999999995,793.2939717121337
0.5066337778426281,0.1899999999999995,789.7344975724784
0.4905517955564994,0.1799999999999995,785.845554977657
0.4730435105063122,0.16999999999999948,781.564056850654
0.4539079529501317,0.15999999999999948,776.8012210552982
0.432910580719656,0.14999999999999947,771.4574305841878
0.40977879139397577,0.13999999999999946,765.3926734795964
0.3842045794591437,0.12999999999999945,758.4097460780306
0.35586407530714026,0.11999999999999944,750.2513614433504
0.32448164288822673,0.10999999999999943,740.5965672432234
0.29002558057857575,0.09999999999999942,729.1409355133627
0.25323530108890024,0.08999999999999941,715.937829944475
0.21613036648159842,0.0799999999999994,701.6983844510141
0.17976191508710512,0.0699999999999994,686.4824964540423
0.14312356705000875,0.05999999999999939,668.9688753901708
