T,X_AL_FCC_A1,X_AL_LIQUID
870,0.9264197272635514,0.8168357097344194
869,0.9251505830330183,0.8135327714508431
868,0.92387799329608,0.8102146966152659
867,0.9226019591330272,0.8068814001983996
866,0.9213224814514315,0.8035327990167324
865,0.9200395609660234,0.8001688119041084
864,0.9187531981773832,0.796789359892306
863,0.9174633933492587,0.7933943664006629
862,0.9161701464845369,0.7899837574353052
861,0.9148734572997762,0.7865574617982295
860,0.9135733251981643,0.7831154113064427
859,0.9122697492408807,0.7796575410215874
858,0.9109627281167944,0.7761837894904189
857,0.9096522601103106,0.7726940989961659
856,0.9083383430674279,0.7691884158214357
855,0.9070209743597216,0.7656666905224873
854,0.9057001508463275,0.7621288782155269
853,0.9043758688337399,0.7585749388750405
852,0.9030481240333078,0.7550048376443886
851,0.9017169115163021,0.7514185451587594
850,0.9003822256665751,0.7478160378809595
849,0.8990440601304147,0.7441972984494954
848,0.8977024077638047,0.7405623160397821
847,0.8963572605766761,0.736911086737828
846,0.8950086096741579,0.7332436139266645
845,0.8936564451946651,0.7295599086853651
844,0.8923007562446252,0.7258599902003677
843,0.8909415308298261,0.722143886189114
842,0.8895787557829988,0.718411633335139
841,0.8882124166876855,0.7146632777347045
840,0.886842497798191,0.7108988753542915
839,0.8854689819552999,0.707118492498066
838,0.8840918504977233,0.7033222062847857
837,0.8827110831691276,0.6995101051334592
836,0.881326658020347,0.6956822892561668
835,0.8799385513068217,0.6918388711575242
834,0.8785467373809164,0.6879799761390787
833,0.8771511885789829,0.684105742807437
832,0.8757518751029204,0.6802163235843014
831,0.8743487648960058,0.6763118852167762
830,0.8729418235128362,0.6723926092859988
829,0.8715310139831418,0.6684586927119793
828,0.8701162966690956,0.6645103482520831
827,0.8686976291161569,0.6605478049911988
826,0.867274965896922,0.656571308820332
825,0.8658482584479053,0.652581122901194
824,0.864417454898969,0.6485775281136499
823,0.8629824998950647,0.6445608234827193
822,0.8615433344100563,0.6405313265818786
821,0.860099895552424,0.6364893739092756
820,0.8586521163624233,0.6324353212330145
819,0.8571999256004424,0.6283695439018138
818,0.8557432475263523,0.6242924371174077
817,0.8542820016693742,0.6202044161645196
816,0.8528161025882446,0.6161059165945988
815,0.8513454596212217,0.611997394359322
814,0.8498699766257364,0.6078793258900578
813,0.8483895517070723,0.6037522081192233
812,0.8469040769358828,0.5996165584399806
811,0.8454134380539863,0.5954729146005955
810,0.8439175141679837,0.5913218345299731
809,0.8424161774303066,0.5871638960914809
808,0.8409092927070221,0.5829996967618548
807,0.8393967172320168,0.5788298532330524
806,0.8378783002467171,0.5746550009345912
805,0.8363538826249405,0.5704757934750004
804,0.8348232964819765,0.5662929020010877
803,0.8332863647671883,0.5621070144742959
802,0.8317429008393704,0.5579188348644232
801,0.8301927080237916,0.5537290822608162
800,0.8286355791500483,0.5495384899025882
799,0.8270712960696538,0.5453478041297269
798,0.8254996291520178,0.5411577832572465
797,0.8239203367577571,0.5369691963762463
796,0.822333164687636,0.5327828220850697
795,0.8207378456058833,0.5285994471558375
794,0.8191340984360068,0.5244198651411703
793,0.8175216277272039,0.5202448749268389
